Province,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Eastern,Ampara,2020,0,0,1,0,0,0,15,43,0,0,18,0,2,0,38,14,0,0,0,1,0,0,2,0.202615725
Eastern,Ampara,2021,2,0,1,0,0,0,18,35,0,0,14,1,1,0,37,16,0,0,0,3,0,0,0,0.217704267
Eastern,Ampara,2022,2,0,6,1,0,0,21,38,0,0,13,4,5,0,50,31,0,0,0,7,0,0,2,0.33702993
Eastern,Ampara,2023,1,,6,,,,18,51,,,11,3,1,,29,28,,,,,4,,,0.579304186
Eastern,Ampara,2024,2,0,4,0,0,0,17,40,0,0,9,0,4,0,31,29,0,0,0,0,0,0,0,0.224287966
North Central,Anuradhapura,2020,0,1,0,0,1,0,55,139,0,0,68,4,8,0,88,54,2,0,0,1,0,0,2,0.377919378
North Central,Anuradhapura,2021,1,1,0,0,0,1,43,131,0,0,59,2,16,0,113,40,2,0,0,8,0,0,0,0.380854518
North Central,Anuradhapura,2022,0,0,2,0,0,4,29,97,0,1,33,2,1,0,59,49,2,0,0,0,0,0,0,0.361393478
North Central,Anuradhapura,2023,1,1,6,,,,26,92,,,39,1,1,,73,44,1,8,7,,,,,0.692747291
North Central,Anuradhapura,2024,0,0,7,0,0,0,23,63,0,0,29,0,4,0,42,39,1,1,0,0,0,0,1,0.287780502
Uva,Badulla,2020,0,0,1,0,0,0,15,32,0,0,8,1,1,0,39,14,0,0,0,0,0,0,1,0.18164091
Uva,Badulla,2021,0,1,1,1,0,0,17,31,0,0,7,6,3,0,39,13,1,0,0,0,0,0,0,0.255843401
Uva,Badulla,2022,1,2,1,0,0,1,16,34,0,0,3,1,1,0,41,19,0,0,0,25,0,0,1,0.276378932
Uva,Badulla,2023,,2,,,,,7,31,,,11,4,,,30,18,1,,,,13,,,0.59830226
Uva,Badulla,2024,0,0,0,0,0,0,5,22,0,0,12,1,2,0,17,20,0,6,0,4,0,0,0,0.196425694
Eastern,Batticaloa,2020,4,0,0,0,0,0,9,47,0,0,8,2,0,0,17,21,1,0,0,1,0,0,0,0.219672763
Eastern,Batticaloa,2021,1,1,0,0,1,0,18,27,1,0,8,1,3,0,27,11,1,0,0,1,0,0,0,0.265604445
Eastern,Batticaloa,2022,0,0,0,0,0,1,31,34,0,0,3,0,0,0,17,10,0,0,0,0,0,0,0,0.133149209
Eastern,Batticaloa,2023,1,,1,,,,17,45,,,4,,2,,19,32,,,,,,1,,0.522286844
Eastern,Batticaloa,2024,0,0,1,1,0,1,18,43,0,1,5,0,4,0,13,15,0,0,0,0,0,0,0,0.231867928
Western,Colombo,2020,0,0,0,0,0,0,4,1,0,0,1,0,2,0,8,3,0,0,0,41,0,0,4,0.132194887
