Province,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category
Eastern,Ampara,2020,0.326204063,0.451736494,0.202615725,0.326852094,Low Risk
Eastern,Ampara,2021,0.449714054,0.443904526,0.217704267,0.370440949,Low Risk
North Central,Anuradhapura,2020,0.439546179,0.596513173,0.377919378,0.471326243,Medium Risk
North Central,Anuradhapura,2021,0.436453951,0.640561333,0.380854518,0.485956601,High Risk
Uva,Badulla,2020,0.2999513,0.505576892,0.18164091,0.329056367,Low Risk
Uva,Badulla,2021,0.38148372,0.512999494,0.255843401,0.383442205,Low Risk
Eastern,Batticaloa,2020,0.321092396,0.41392559,0.219672763,0.31823025,Low Risk
Eastern,Batticaloa,2021,0.492467237,0.435531963,0.265604445,0.397867882,Medium Risk
Western,Colombo,2020,0.45653989,0.664807673,0.132194887,0.417847483,Medium Risk
Western,Colombo,2021,0.622757693,0.607455779,0.099714065,0.443309179,Medium Risk
Southern,Galle,2020,0.381283543,0.574885344,0.224026536,0.393398474,Low Risk
Southern,Galle,2021,0.45652866,0.589120472,0.275234688,0.440294607,Medium Risk
Western,Gampaha,2020,0.494821603,0.649257569,0.158104261,0.434061144,Medium Risk
Western,Gampaha,2021,0.652022184,0.619257624,0.177488002,0.482922603,High Risk
Southern,Hambantota,2020,0.35172124,0.545728177,,,Low Risk
Southern,Hambantota,2021,0.309464999,0.581586762,,,Low Risk
Northern,Jaffna,2020,0.479207148,0.567808064,0.137732453,0.394915888,Low Risk
Northern,Jaffna,2021,0.798279222,0.538406611,0.162108866,0.499598233,High Risk
Western,Kalutara,2020,0.446312821,0.590273308,0.257342718,0.431309616,Medium Risk
Western,Kalutara,2021,0.566267988,0.560375511,0.263892561,0.46351202,Medium Risk
Central,Kandy,2020,0.374886507,0.60140376,0.32442462,0.433571629,Medium Risk
Central,Kandy,2021,0.370768011,0.548699069,0.237717575,0.385728218,Low Risk
Sabaragamuwa,Kegalle,2020,0.377000342,0.620188231,0.269983294,0.422390622,Medium Risk
Sabaragamuwa,Kegalle,2021,0.601987592,0.60797575,0.216979293,0.475647545,High Risk
Northern,Kilinochchi,2020,0.47959694,0.431116646,0.142596265,0.351103284,Low Risk
Northern,Kilinochchi,2021,0.775323781,0.481972573,0.164923536,0.474073297,High Risk
North Western,Kurunegala,2020,0.36077573,0.622255415,0.302894047,0.428641731,Medium Risk
North Western,Kurunegala,2021,0.687830359,0.615111709,0.339511223,0.54748443,High Risk
Northern,Mannar,2020,0.435094253,0.48177412,0.059845802,0.325571392,Low Risk
Northern,Mannar,2021,0.482902659,0.633370532,0.09316256,0.40314525,Medium Risk
Central,Matale,2020,0.351115408,0.549931869,0.255692481,0.38557992,Low Risk
Central,Matale,2021,0.473410808,0.594573826,0.231945977,0.433310203,Medium Risk
Southern,Matara,2020,0.353181858,0.569158004,0.303900344,0.408746735,Medium Risk
Southern,Matara,2021,0.398298935,0.538524465,0.331671939,0.42283178,Medium Risk
Uva,Moneragala,2020,0.30480321,0.484398149,0.305049179,0.364750179,Low Risk
Uva,Moneragala,2021,0.395838998,0.63330545,0.251197909,0.426780785,Medium Risk
Northern,Mullaitivu,2020,0.408463692,0.42105568,0.16706492,0.332194764,Low Risk
Northern,Mullaitivu,2021,0.509423805,0.501024672,0.136912133,0.382453537,Low Risk
Central,Nuwara Eliya,2020,0.305830592,0.63826761,0.1863351,0.376811101,Low Risk
Central,Nuwara Eliya,2021,0.406077251,0.636250539,0.185068308,0.409132033,Medium Risk
North Central,Polonnaruwa,2020,0.361916707,0.470279719,0.289315953,0.373837459,Low Risk
North Central,Polonnaruwa,2021,0.435762256,0.507262977,0.225194914,0.389406715,Low Risk
North Western,Puttalam,2020,0.388969671,0.567405109,0.209751436,0.388708739,Low Risk
North Western,Puttalam,2021,0.496788693,0.557607807,0.192443592,0.415613364,Medium Risk
Sabaragamuwa,Ratnapura,2020,0.331055996,0.591783526,0.34666997,0.423169831,Medium Risk
Sabaragamuwa,Ratnapura,2021,0.561169933,0.582441959,0.239358536,0.460990143,Medium Risk
Eastern,Trincomalee,2020,0.424368713,0.451024494,0.159717363,0.345036857,Low Risk
Eastern,Trincomalee,2021,0.494909322,0.45161733,0.176421122,0.374315925,Low Risk
Northern,Vavuniya,2020,0.452166742,0.503728121,0.103917926,0.35327093,Low Risk
Northern,Vavuniya,2021,0.491432066,0.480915063,0.122866992,0.365071374,Low Risk
