District,CSEL_Pillar,Severity (0–3)
Alwar,Adaptation,0.83
Alwar,Climate Impacts,1.9
Alwar,Community Risks,1.56
Alwar,Economic Conditions,3.0
Alwar,Impact on Children,1.6
Alwar,Livelihood Changes,1.71
"Jaisinghpura, Jaipur Rural",Climate Impacts,1.91
"Jaisinghpura, Jaipur Rural",Community Risks,2.17
"Jaisinghpura, Jaipur Rural",Economic Conditions,2.2
"Jaisinghpura, Jaipur Rural",Food Security,1.25
"Jaisinghpura, Jaipur Rural",Human Mobility,3.0
"Jaisinghpura, Jaipur Rural",Impact on Children,0.75
"Jaisinghpura, Jaipur Rural",Livelihood Changes,2.0
